ACARA ID,School Name,Suburb,Postcode,Type,Geolocation,Latitude,Longitude,BE Score,School Sector,Campus Type,Governing Body,ICSEA,Bottom SEA Quarter (%),Lower Middle SEA Quarter (%),Upper Middle SEA Quarter (%),Top SEA Quarter (%),Teaching Staff,Full Time Equivalent Teaching Staff,Non-Teaching Staff,Full Time Equivalent Non-Teaching Staff,Total Enrolments,Girls Enrolments,Boys Enrolments,Full Time Equivalent Enrolments,Indigenous Enrolments (%),Language Background Other Than English (%),State,cites/town,ICSEA Ratio
42190,Cowper Public School,Cowper,2460,Primary,Outer Regional,-29.5696,153.078,,Government,School Single Entity,Department of Education NSW,944.0,40.0,26.0,25.0,9.0,2.0,1.9,1.0,0.7,21.0,13.0,8.0,21.0,24.0,5.0,NSW,Sydney,Higher 
41318,Mosman Public School,Mosman,2088,Primary,Major Cities,-33.8281,151.241,96,Government,School Single Entity,Department of Education NSW,1151.0,1.0,6.0,24.0,68.0,33.0,36.4,5.0,4.3,668.0,325.0,343.0,668.0,0.0,37.0,NSW,None,Average
42966,Cowra Public School,Cowra,2794,Primary,Inner Regional,-33.836,148.69,74,Government,School Single Entity,Department of Education NSW,919.0,54.0,28.0,13.0,5.0,25.0,29.4,9.0,7.1,389.0,188.0,201.0,389.0,21.0,3.0,NSW,Sydney,Higher 
42191,Crabbes Creek Public School,Crabbes Creek,2483,Primary,Inner Regional,-28.456,153.497,,Government,School Single Entity,Department of Education NSW,1004.0,19.0,51.0,21.0,9.0,2.0,2.6,2.0,0.9,34.0,18.0,16.0,34.0,6.0,18.0,NSW,Cowra,Average
41757,Crawford Public School,Doonside,2767,Primary,Major Cities,-33.7548,150.869,74,Government,School Single Entity,Department of Education NSW,919.0,59.0,24.0,13.0,4.0,38.0,37.1,9.0,7.6,468.0,215.0,253.0,468.0,17.0,55.0,NSW,Crabbes Creek,Higher 
42192,Crescent Head Public School,Crescent Head,2440,Primary,Outer Regional,-31.1881,152.97,71,Government,School Single Entity,Department of Education NSW,969.0,36.0,29.0,26.0,9.0,10.0,10.1,3.0,2.1,183.0,94.0,89.0,183.0,14.0,4.0,NSW,Sydney,Higher 
41739,Crestwood Public School,Baulkham Hills,2153,Primary,Major Cities,-33.7491,150.972,98,Government,School Single Entity,Department of Education NSW,1123.0,4.0,11.0,30.0,55.0,40.0,40.3,5.0,4.5,747.0,370.0,377.0,747.0,1.0,54.0,NSW,Crescent Head,Average
42856,Cringila Public School,Cringila,2502,Primary,Major Cities,-34.472,150.87,71,Government,School Single Entity,Department of Education NSW,912.0,74.0,18.0,7.0,1.0,11.0,12.3,4.0,2.1,129.0,68.0,61.0,129.0,0.0,85.0,NSW,Sydney,Higher 
42756,Crookwell Public School,Crookwell,2583,Primary,Inner Regional,-34.4599,149.47,75,Government,School Single Entity,Department of Education NSW,951.0,50.0,32.0,13.0,5.0,10.0,11.6,4.0,2.4,195.0,78.0,117.0,195.0,8.0,3.0,NSW,Wollongong City Council,Higher 
42495,Croppa Creek Public School,Croppa Creek,2411,Primary,Outer Regional,-29.1252,150.309,,Government,School Single Entity,Department of Education NSW,916.0,64.0,23.0,8.0,5.0,1.0,1.3,2.0,1.1,15.0,8.0,7.0,15.0,7.0,0.0,NSW,Crookwell,Higher 
42193,Crossmaglen Public School,Crossmaglen,2441,Primary,Inner Regional,-30.3659,152.982,,Government,School Single Entity,Department of Education NSW,964.0,36.0,27.0,24.0,13.0,2.0,1.3,1.0,1.0,21.0,11.0,10.0,21.0,24.0,10.0,NSW,None,Higher 
42194,Crystal Creek Public School,Crystal Creek,2484,Primary,Inner Regional,-28.3121,153.326,81,Government,School Single Entity,Department of Education NSW,972.0,41.0,34.0,18.0,7.0,5.0,4.9,4.0,1.5,82.0,37.0,45.0,82.0,6.0,2.0,NSW,Coffs Harbour,Higher 
42968,Cudal Public School,Cudal,2864,Primary,Outer Regional,-33.2871,148.74,89,Government,School Single Entity,Department of Education NSW,1022.0,26.0,34.0,22.0,18.0,3.0,4.9,2.0,1.5,75.0,34.0,41.0,75.0,0.0,3.0,NSW,None,Average
43084,Cudgegong Valley Public School,Mudgee,2850,Primary,Inner Regional,-32.6065,149.584,76,Government,School Single Entity,Department of Education NSW,963.0,43.0,31.0,18.0,8.0,26.0,30.2,5.0,4.1,550.0,281.0,269.0,550.0,12.0,3.0,NSW,Cudal,Higher 
42195,Cudgen Public School,Cudgen,2487,Primary,Major Cities,-28.2626,153.555,77,Government,School Single Entity,Department of Education NSW,954.0,40.0,29.0,20.0,10.0,11.0,11.4,4.0,2.0,181.0,86.0,95.0,181.0,23.0,7.0,NSW,Mudgee,Higher 
42884,Culburra Public School,Culburra Beach,2540,Primary,Inner Regional,-34.9332,150.762,75,Government,School Single Entity,Department of Education NSW,932.0,46.0,30.0,17.0,7.0,12.0,11.4,5.0,3.0,179.0,71.0,108.0,179.0,26.0,6.0,NSW,None,Higher 
42564,Culcairn Public School,Culcairn,2660,Primary,Inner Regional,-35.6683,147.04,86,Government,School Single Entity,Department of Education NSW,979.0,37.0,35.0,19.0,8.0,5.0,7.5,5.0,1.7,114.0,48.0,66.0,114.0,9.0,5.0,NSW,Culburra Beach,Higher 
42969,Cullen Bullen Public School,Cullen Bullen,2790,Primary,Inner Regional,-33.2999,150.032,,Government,School Single Entity,Department of Education NSW,880.0,88.0,10.0,2.0,0.0,2.0,1.9,2.0,0.7,21.0,8.0,13.0,21.0,10.0,0.0,NSW,Culcairn,Higher 
42970,Cumnock Public School,Cumnock,2867,Primary,Outer Regional,-32.9315,148.75,82,Government,School Single Entity,Department of Education NSW,954.0,41.0,25.0,21.0,13.0,3.0,3.8,2.0,1.5,46.0,18.0,28.0,46.0,20.0,0.0,NSW,Cullen Bullen,Higher 
42196,Cundletown Public School,Cundletown,2430,Primary,Inner Regional,-31.8997,152.522,74,Government,School Single Entity,Department of Education NSW,927.0,55.0,31.0,12.0,2.0,19.0,23.0,3.0,2.9,337.0,155.0,182.0,337.0,17.0,1.0,NSW,Cumnock,Higher 
42432,Curlewis Public School,Curlewis,2381,Primary,Outer Regional,-31.1171,150.263,78,Government,School Single Entity,Department of Education NSW,807.0,77.0,18.0,5.0,0.0,4.0,3.7,2.0,1.4,48.0,26.0,22.0,48.0,52.0,6.0,NSW,Cundletown,Higher 
42433,Currabubula Public School,Currabubula,2342,Primary,Outer Regional,-31.2628,150.736,,Government,School Single Entity,Department of Education NSW,958.0,49.0,18.0,30.0,4.0,1.0,3.1,1.0,0.7,23.0,9.0,14.0,23.0,4.0,0.0,NSW,None,Higher 
41485,Curran Public School,Macquarie Fields,2564,Primary,Major Cities,-33.9933,150.899,68,Government,School Single Entity,Department of Education NSW,870.0,77.0,14.0,8.0,2.0,17.0,20.6,9.0,7.6,252.0,121.0,131.0,252.0,18.0,41.0,NSW,None,Higher 
41521,Currans Hill Public School,Currans Hill,2567,Primary,Major Cities,-34.0479,150.769,80,Government,School Single Entity,Department of Education NSW,985.0,33.0,36.0,24.0,7.0,30.0,34.5,7.0,7.1,578.0,289.0,289.0,578.0,9.0,22.0,NSW,Sydney,Higher 
42757,Dalgety Public School,Dalgety,2628,Primary,Outer Regional,-36.5027,148.837,,Government,School Single Entity,Department of Education NSW,1024.0,25.0,40.0,16.0,18.0,2.0,1.3,1.0,0.9,11.0,4.0,7.0,11.0,0.0,0.0,NSW,Sydney,Average
41524,Dalmeny Public School,Prestons,2170,Primary,Major Cities,-33.9473,150.871,79,Government,School Single Entity,Department of Education NSW,1008.0,29.0,32.0,27.0,12.0,50.0,60.1,14.0,10.1,1053.0,476.0,577.0,1053.0,3.0,72.0,NSW,None,Average
42758,Dalton Public School,Dalton,2581,Primary,Inner Regional,-34.7204,149.179,,Government,School Single Entity,Department of Education NSW,975.0,42.0,25.0,9.0,24.0,1.0,1.3,2.0,1.0,11.0,4.0,7.0,11.0,18.0,0.0,NSW,Sydney,Higher 
42759,Dapto Public School,Horsley,2530,Primary,Major Cities,-34.4947,150.777,82,Government,School Single Entity,Department of Education NSW,986.0,32.0,37.0,24.0,7.0,39.0,41.3,11.0,8.5,741.0,350.0,391.0,741.0,8.0,13.0,NSW,None,Higher 
41712,Darcy Road Public School,Wentworthville,2145,Primary,Major Cities,-33.802,150.966,95,Government,School Single Entity,Department of Education NSW,1118.0,4.0,10.0,31.0,54.0,31.0,40.7,3.0,4.5,721.0,351.0,370.0,721.0,0.0,96.0,NSW,Wollongong City Council,Average
