ACARA ID,School Name,Suburb,Postcode,Type,Geolocation,Latitude,Longitude,BE Score,School Sector,Campus Type,Governing Body,ICSEA,Bottom SEA Quarter (%),Lower Middle SEA Quarter (%),Upper Middle SEA Quarter (%),Top SEA Quarter (%),Teaching Staff,Full Time Equivalent Teaching Staff,Non-Teaching Staff,Full Time Equivalent Non-Teaching Staff,Total Enrolments,Girls Enrolments,Boys Enrolments,Full Time Equivalent Enrolments,Indigenous Enrolments (%),Language Background Other Than English (%),State
42950,Broken Hill Public School,Broken Hill,2880,Primary,Outer Regional,-31.9565,141.457,77,Government,School Single Entity,Department of Education NSW,906,53,26,15,6,10,12.5,7,3.4,155,83,72,155,28,3,NSW
42063,Brooke Avenue Public School,Killarney Vale,2261,Primary,Major Cities,-33.3761,151.466,76,Government,School Single Entity,Department of Education NSW,943,46,33,16,5,24,27.8,7,5.7,444,215,229,444,17,7,NSW
41201,Brooklyn Public School,Brooklyn,2083,Primary,Inner Regional,-33.5484,151.215,90,Government,School Single Entity,Department of Education NSW,1083,10,26,27,36,4,4.9,3,1.5,75,35,40,75,0,28,NSW
41202,Brookvale Public School,Brookvale,2100,Primary,Major Cities,-33.7617,151.271,87,Government,School Single Entity,Department of Education NSW,1052,15,28,30,26,16,19.4,3,2.9,341,176,165,341,1,47,NSW
42891,Broulee Public School,Broulee,2537,Primary,Inner Regional,-35.8452,150.172,81,Government,School Single Entity,Department of Education NSW,1018,24,30,27,20,16,19.8,3,2.9,369,166,203,369,6,6,NSW
42553,Brungle Public School,Brungle,2722,Primary,Inner Regional,-35.1568,148.234,,Government,School Single Entity,Department of Education NSW,669,99,1,0,0,1,1.4,2,0.9,13,8,5,13,85,0,NSW
42161,Brunswick Heads Public School,Brunswick Heads,2483,Primary,Inner Regional,-28.5413,153.551,83,Government,School Single Entity,Department of Education NSW,1016,23,30,27,21,12,14.5,3,2.5,231,118,113,231,10,10,NSW
42023,Budgewoi Public School,Budgewoi,2262,Primary,Major Cities,-33.2257,151.549,79,Government,School Single Entity,Department of Education NSW,943,51,30,15,3,34,34.2,8,8,539,241,298,539,15,4,NSW
42427,Bundarra Central School,Bundarra,2359,Combined,Outer Regional,-30.1684,151.078,69,Government,School Single Entity,Department of Education NSW,905,66,22,10,2,13,14,4,5.4,99,52,47,99,13,3,NSW
42503,Bullarah Public School,Bullarah,2400,Primary,Remote,-29.4709,149.229,,Government,School Single Entity,Department of Education NSW,968,40,40,17,3,1,1.3,2,1.1,8,3,5,8,0,0,NSW
42742,Bulli Public School,Bulli,2516,Primary,Major Cities,-34.327,150.913,96,Government,School Single Entity,Department of Education NSW,1075,11,20,28,41,13,13.3,4,2.3,227,102,125,227,8,15,NSW
41134,Croydon Public School,Croydon,2132,Primary,Major Cities,-33.8798,151.115,98,Government,School Single Entity,Department of Education NSW,1127,4,11,29,56,31,35.9,4,4.3,669,346,323,669,0,66,NSW
42743,Bundanoon Public School,Bundanoon,2578,Primary,Inner Regional,-34.6579,150.3,79,Government,School Single Entity,Department of Education NSW,1022,23,33,26,17,8,8.7,3,2,150,65,85,150,3,7,NSW
41135,Croydon Park Public School,Croydon Park,2133,Primary,Major Cities,-33.8947,151.108,89,Government,School Single Entity,Department of Education NSW,1068,14,22,31,34,22,25.6,3,3.3,450,230,220,450,2,63,NSW
42633,Ungarie Central School,Ungarie,2669,Combined,Outer Regional,-33.638,146.978,89,Government,School Single Entity,Department of Education NSW,943,51,30,16,3,12,12.5,5,4,99,39,60,99,6,0,NSW
41136,Daceyville Public School,Daceyville,2032,Primary,Major Cities,-33.9295,151.228,80,Government,School Single Entity,Department of Education NSW,1032,22,20,30,28,18,20.7,5,2.6,269,140,129,269,8,62,NSW
41137,Darlinghurst Public School,Potts Point,2011,Primary,Major Cities,-33.8786,151.223,94,Government,School Single Entity,Department of Education NSW,1154,1,6,26,67,16,17.6,2,2.8,322,167,155,322,1,38,NSW
42744,Bungendore Public School,Bungendore,2621,Primary,Inner Regional,-35.2556,149.445,79,Government,School Single Entity,Department of Education NSW,1048,16,28,33,23,21,29.3,6,5,507,254,253,507,2,4,NSW
41138,Gardeners Road Public School,Rosebery,2018,Primary,Major Cities,-33.9206,151.198,86,Government,School Single Entity,Department of Education NSW,1038,19,25,34,23,21,25.3,9,7.8,358,184,174,358,4,75,NSW
42163,Bungwahl Public School,Bungwahl,2423,Primary,Inner Regional,-32.3891,152.449,,Government,School Single Entity,Department of Education NSW,984,34,29,27,10,2,2.5,2,0.9,36,21,15,36,11,11,NSW
41139,Glebe Public School,Glebe,2037,Primary,Major Cities,-33.8837,151.191,79,Government,School Single Entity,Department of Education NSW,1017,26,18,23,32,16,17.5,6,3.8,309,150,159,309,17,44,NSW
43086,Buninyong Public School,Dubbo,2830,Primary,Inner Regional,-32.2432,148.639,68,Government,School Single Entity,Department of Education NSW,794,73,18,7,2,23,25.3,10,7.9,384,177,207,384,61,6,NSW
41140,Leichhardt Public School,Leichhardt,2040,Primary,Major Cities,-33.8843,151.158,93,Government,School Single Entity,Department of Education NSW,1127,4,10,25,61,36,42.2,7,7.7,736,371,365,736,3,30,NSW
42554,Bunnaloo Public School,Bunnaloo,2731,Primary,Outer Regional,-35.7864,144.598,97,Government,School Single Entity,Department of Education NSW,1039,21,25,31,22,3,3.7,1,1.5,41,26,15,41,0,2,NSW
41141,Maroubra Junction Public School,Maroubra,2035,Primary,Major Cities,-33.9361,151.237,92,Government,School Single Entity,Department of Education NSW,1113,5,14,31,51,34,34.2,5,4.1,619,295,324,619,0,58,NSW
42952,Burke Ward Public School,Broken Hill,2880,Primary,Outer Regional,-31.9604,141.441,71,Government,School Single Entity,Department of Education NSW,906,61,25,11,4,19,22.2,8,8.2,263,141,122,263,22,4,NSW
